,rating,rating_title,rating_description,rating_pros,rating_cons
0,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
1,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
2,4.0,great place to work,"the management is great, the culture is awesome and the people are young and motivated who also share their best practices only con is the $.  I've talked to others who sell adwords for a living and they make much more","managment, people, culture",money
3,2.0,Lots of politics,"The work culture has changed so that there is a lot of politics, management is unwilling to step in and resolve issues, so engineers are left with the burden.",Free lunches,Unfulfilling work
4,3.0,Productive company,"A typical day at work in the company is fast paced.  There are always different things to do like installing new phones or fixing them, client support.",,
5,4.0,great company,A great company to work for. Excellenent people and wonder ful work environment. Good learning environment. Learnt great skillsets,,
6,5.0,work culture,"Google are talented, skilled and caring people with a passion for our province and our company. We grow and develop as people in a work environment that treats us great.",,
7,4.0,Great company,"Great company to work for. Amazaing people. Lots of things learnt here. a great startup company, Good technology to work around. Nice company",,
8,5.0,productive fun with a lot new experience to be met,google is a good company they may have been a few rotten eggs in the basket but still the company policy is very good and they take good care of their employee,free lunch free transport.,
9,4.0,Environnement travail  domicile,Entretient du site et de ces mises à jour plus sur les réseaux sociaux avec référencement naturel,,
10,4.0,Great place to work,"This is a great place. Wonderful people and wonderful environment with room to grow. Join if you can. Management is willing to work with you to develop and do not micromanage. Opportunity to join different projects.",,
11,5.0,Its something you should look into,"I like working with them, they let you make your own hours and if you work hard enough you will be able to make big cash. anyone can work with them as long as you work as hard as you can and have a creative mind.",your own hours,no stable salary
12,4.0,Environnement agréable mais en constant changement,"Je ne serais pas demeurée plus de 7 ans si je n'appréciais pas le travail. L'environnement a toujours été agréable et chaleureux. le rapport avec les clients respectueux et intime, sans la pression de performer pour vendre un produit à n'importe quel prix. Bien souvent je passe plusieurs dizaines de minutes avec un seul client, l,aidant à faire un choix, lui racontant mes coups de cœur littéraire. La vente se fait par intérêt du livre et non pour forcer une vente! J'aime l'idée de contribuer également au succès d'un auteur anonyme qui n'est pas populaire auprès des médias sociaux. J'ai appris beaucoup sur moi comme pour chaque emploi occupé. J'aime relever des défis dans l'exercice de mes fonctions mais les postes de gestion ne sont pas faits pour moi. Mes collègues ont fréquemment changé avec les années et à part ma supérieure immédiate (très compétente), le roulement de personnel a modifié intégralement l'équipe. Y compris les directeurs qui se sont succéder à la suite de changements intenses et déroutants, un peu trop fréquents.","Droit d'emprunt, rabais sur les produits achetés",une demie heure dans un quart de 9h de travail et non payé
13,5.0,Very fun project to work with,"Google is definitely one of the best companies to work for. As an software Tools and Infrastructure Intern at Google, I got the opportunity to work on a very fun and isolated project.",,
14,4.0,"Fun, Adventurous, and Challenging","- Every day was different and this is mainly why I took the job. I traveled across Canada twice, traveled to Nunavut and saw the most spectacular National and Provincial Parks all over Canada. - Management had little to no oversight and let me do my job without much intervention or direction which was sometimes difficult when they asked me to complete a task I was unfamiliar with. - There was no one else from Adecco or Google working with me as I traveled across the country; though I could call them when needed so was not 100% independent. I communicated with a representative from Google on a daily basis to report my progress. - The most difficult part of the job was driving long distances after a strenuous day of hiking with heavy equipment on my back. - The scenery and some of the individuals from Parks Canada were definitely the most enjoyable parts of the job.",Extensive travel,Long or unreliable hours
15,5.0,Not as review,"Indeed has been a great place to work. With any growing company, there have been moments of stress. But through strong leadership and a clear mission (I help people get jobs), Indeed has been an amazing place to work. The challenges are daily and varied and leave me satisfied. I have grown a lot working here and see a lot of potential for more in the future.",,
16,5.0,Great place,"Genius people work at Google,Canada's best engineers can be found here. lot to learn. facilities are amazing, very innovative, and flexible",Free Lunches,nothing
17,5.0,Great place to work,"Worked with some of the smartest and nicest people I've ever met. Learned Python on the job, great food to eat, management was very receptive.  Nothing bad to say about Google.","Free lunched, great pay",None!
18,2.0,Few perks but nothing special,"Completely different from the movie, perks are exciting at first but it is it. Poor management and very strict with do and don't do",,
19,5.0,Very innovative. One of the best companies to work for.,"-Good exposure. You get to work with some of the best companies in the world as Google's clients and huge organizations. -A typical day starts with checking emails and following up with clients and internal team meetings.-I learned consultative selling techniques and complex sales to large multi-national organizations -Amazing co-workers. Very cooperative. Company culture is amazing- Working for google has its perks but its not a bowl of cherries. You have to work very hard, long hours, travel and probably the hardest part would be keeping up with emails.-  Great relationships with coworkers and clients",Good brand name,Slow Growth Potential
20,4.0,Great company in general,"-Review the up-to-date guidelines everyday-Rate the quality of webpage through by toggle between strict guideline and personal culture judgment","Flexible hours, extending your analytical skills",require a chinese culture background and requires the self improving employees
21,5.0,Good fun,Worked on opensource project. Lots of fun. Good money. I worked from home.,,
22,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
23,4.0,Fast Pace,"Very fast pace environment with lots of experienced gained in the department of net working communications, and research.",use company vehicle,contract work
24,3.0,"educational, flexible and challenging",This was an excellent learnign experience and challenged me with technical responsibilities as well as mapping skills. Enjoyed working for the company and enjoyed my job task as I am now a very skilled experienced driver with lots of knowledge in the Cape Breton area.,hour lunch break,not permanent
25,5.0,"A highly motivated and results and detailed - oriented professional with 14 years of experience specializing in the Oil and Gas, Industrial, Construct","A highly motivated and results and detailed - oriented professional with 14 years of experience specializing in the Oil and Gas, Industrial, Construction and Residential Industries. Communicate effectively with co-workers. Well versed in Project Design and Drafting, Material Purchasing, Management, Supervision and Assembly.",,
26,4.0,"Fantastic engineers, one-of-a-kind opportunities","For engineers, Google is a company unlike any other. The caliber of the people there is super-high, the resources and data available are unmatched, and the problems are challenging and meaningful. While I was there, I felt like a valued employee by my team and the company as a whole. The culture of openness was impressive and changed my views on how a company should be run.That said, it's not for everyone and the Google of today is not the same as the early 2000's. It has ""grown up"" and lost a lot of the playfulness and deliberate wanderlust that made the company and the brand so powerful and successful. It will continue to be an important place with great opportunities for learning and growth, but those looking for the impact and ownership of a startup should look elsewhere.","flexible hours, great engineering culture, generous benefits, brightly painted offices","long hours, distributed teams, easy to get lost, *way* too much email"
27,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
28,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
29,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
30,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
31,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
32,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
33,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
34,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
35,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
36,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
37,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
38,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
39,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
40,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
41,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
42,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
43,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
44,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
45,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
46,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
47,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
48,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
49,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
50,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
51,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
52,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
53,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
54,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
55,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
56,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
57,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
58,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
59,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
60,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
61,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
62,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
63,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
64,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
65,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
66,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
67,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
68,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
69,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
70,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
71,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
72,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
